Title,SellerSKU,ASIN,,In Stock Level,List Price,CPU,In Stock Value,Supplier,Date Purchased,Notes,,,,
"COVERGIRL Queen Vivid Impact Eyeliner Cabernet Q315, .033 oz",BL03032017/2.15,B0062GZEPW,"B0062GZEPW,",2,10.99,2.15,4.3,Big Lots,3/3/17,,"'B0062GZEPW',",,,"('B0062GZEPW', 'COVERGIRL Queen Vivid Impact Eyeliner Cabernet Q315, .033 oz', 2, 10.99),"
Cra Z Art Peanuts Snoopy Paint by Number Large Set,TM03092017/2.04,B011BW02MG,"B011BW02MG,",1,12.49,2.04,2.04,Tuesday Morning,3/9/17,,"'B011BW02MG',",,,"('B011BW02MG', 'Cra Z Art Peanuts Snoopy Paint by Number Large Set', 1, 12.49),"
Creativity for Kids Feather Jewelry Kit,TM04062017/5.98,B009KORU7I,"B009KORU7I,",4,18.78,5.98,23.92,Tuesday Morning,4/6/17,,"'B009KORU7I',",,,"('B009KORU7I', 'Creativity for Kids Feather Jewelry Kit', 4, 18.78),"
Crest Complete Extra White Plus Scope Dual-Blast Fresh Breath Toothpaste - Fresh Mint Blast 7.6 Oz (Pack of 2),BL04012017//5.13,B005HNX2RS,"B005HNX2RS,",3,19.95,5.13,15.39,Big Lots,4/1/17,,"'B005HNX2RS',",,,"('B005HNX2RS', 'Crest Complete Extra White Plus Scope Dual-Blast Fresh Breath Toothpaste - Fresh Mint Blast 7.6 Oz (Pack of 2)', 3, 19.95),"
"Crest Pro-Health Advanced Fluoride Toothpaste for Anticavity, Antigingivitis and Sensitive Teeth, Mint - 5.8 Oz",BL02272017/2.73,B0052AR2MC,"B0052AR2MC,",3,12.66,2.73,8.19,Big Lots,2/27/17,,"'B0052AR2MC',",,,"('B0052AR2MC', 'Crest Pro-Health Advanced Fluoride Toothpaste for Anticavity, Antigingivitis and Sensitive Teeth, Mint - 5.8 Oz', 3, 12.66),"
"Crest Pro-Health Advanced Smooth Mint Toothpaste 4 oz, Twin Pack,  (Packaging may vary)",BL03292017/4.27,B005PLQGUC,"B005PLQGUC,",2,24.99,4.27,8.54,Big Lots,3/29/17,,"'B005PLQGUC',",,,"('B005PLQGUC', 'Crest Pro-Health Advanced Smooth Mint Toothpaste 4 oz, Twin Pack,  (Packaging may vary)', 2, 24.99),"
Crest Pro-health Advanced Toothpaste Smooth Mint 4.0 Oz,BL03032017/1.92,B0040BC77Y,"B0040BC77Y,",1,9.5,1.92,1.92,Big Lots,3/3/17,,"'B0040BC77Y',",,,"('B0040BC77Y', 'Crest Pro-health Advanced Toothpaste Smooth Mint 4.0 Oz', 1, 9.5),"
Crest Pro-Health Toothpaste - Clinical Gum Protection - Invigorating Clean Mint 4.0 Oz (Pack of 3),BL02152017/5.83,B00CBYN7SU,"B00CBYN7SU,",3,21.99,5.83,17.49,Big Lots,2/15/17,,"'B00CBYN7SU',",,,"('B00CBYN7SU', 'Crest Pro-Health Toothpaste - Clinical Gum Protection - Invigorating Clean Mint 4.0 Oz (Pack of 3)', 3, 21.99),"
Crest Pro-Health Toothpaste - Clinical Gum Protection - Invigorating Clean Mint 4.0 Oz (Pack of 3),BL02032017/4.85,B00CBYN7SU,"B00CBYN7SU,",5,21.99,4.84,24.2,Big Lots,2/3/17,,"'B00CBYN7SU',",,,"('B00CBYN7SU', 'Crest Pro-Health Toothpaste - Clinical Gum Protection - Invigorating Clean Mint 4.0 Oz (Pack of 3)', 5, 21.99),"
"Crest Sensi-Care With Fluoride-Alcohol Free Mild Mint Rinse 500 ml, Pack of 2.",FBA08092016/4.42,B00NH77QM8,"B00NH77QM8,",2,29.99,4.42,8.84,Big Lots,8/9/16,,"'B00NH77QM8',",,,"('B00NH77QM8', 'Crest Sensi-Care With Fluoride-Alcohol Free Mild Mint Rinse 500 ml, Pack of 2.', 2, 29.99),"
