Title,SellerSKU,ASIN,,In Stock Level,List Price,CPU,In Stock Value,Supplier,Date Purchased,Notes,,,,
"Our Generation Rodeo Play Set For 18"" Dolls",TG11192016/10.66,B01940S1ZM,,0,28.5,10.66,0,Target,11/19/16,,,,,
Outburst Junior 1989 Edition,YS09102016/1,B0025C8DB4,,0,45.99,1,0,Yard Sale,9/10/16,,,,,
OUTBURST; with UPDATED TOPICS,DI09232016/2,B000KT6GYK,,0,15.75,2,0,Deseret Industries,9/23/16,,,,,
"Outdoor Research Ultralight Dry Sack, 55-Liter, Supernova",FBA06052016/10.95,B00ATNIIIY,,0,28.99,10.95,0,Amazon,6/5/16,,,,,
"Oversized Utensil Caddy, Emphasize The Beauty Of Your Home Through This 6 Inch SilverWare Holder.",TM01262017/6.53,B01JZ8CKDM,,0,29.99,6.53,0,Tuesday Morning,1/26/17,,,,,
"Oxy Daily Defense Advanced Facial Cleanser, Aloe and Cucumber",BL02032017/2.72,B00HV93MX0,,0,18.99,2.72,0,Big Lots,2/3/17,,,,,
OXY Daily Defense Aloe Cucumber 7oz 3 Pack,BL01212017//8.98,B0167JUF2A,,0,37.99,8.98,0,Big Lots,1/21/17,,,,,
"Palermo Extra Virgin Plastic Bottles Olive Oil, 48 Fluid Ounce",FBA06292016/10.3,B00YCERWTM,,0,26.99,10.3,0,Tuesday Morning,6/29/16,,,,,
"Palo Medical aPallo TB Trek Ball, Black, 0.5-Pound",FBA07012016/1.59,B00R0934GQ,,0,13.14,1.59,0,Walgreens,7/1/16,,,,,
PanOxyl Bar 10% - 4 oz - 1 Bar,FBA07012016/4.8,B0000Y3COC,,0,39.49,4.8,0,Rite Aid,7/1/16,,,,,
Pantech Link P7040 - Black Orange (AT&T) Cellular Phone,FBA08012016/11.54,B00AEXFMZ6,,0,33.99,11.54,0,Rite Aid,8/1/16,,,,,
"Pantech P7040 Link Unlocked Phone with QWERTY Keyboard, 1.3 MP Camera and GPS-No Warranty-Wine/Black",RA11042016/11.61,B0062FYYYA,,0,59.99,11.61,0,Rite Aid,11/4/16,,,,,
Pantene Pro-V Blonde Expressions Daily Color Enhancing Shampoo With Liquid Crystals 13 Oz (Pack of 3),BL12312017/7.21,B001G7PLJG,,0,20.82,7.21,0,Big Lots,12/31/16,,,,,
Pantene Pro-V Brunette Expressions Daily Color Enhancing Conditioner - 13.5 oz - 2 pk,BL03032017-3.85,B00JJ1TT8U,,0,23.49,3.85,0,Big Lots,3/3/17,,,,,
Pantene Pro-V Clarifying Hair Shampoo 12.6oz (Quantity 1),BL11052016/2.67,B00N4VKLP6,,0,19.99,2.67,0,Big Lots,11/5/16,,,,,
Pantene Pro-V Clarifying Hair Shampoo 12.6oz (Quantity 1),FBA06042016__143,B00N4VKLP6,,0,10,2.67,0,Big Lots,4/18/16,,,,,
Pantene Pro-V Clarifying Shampoo - Removes Styling Build-Up & Residue - Net Wt. 12.6 FL OZ (375 mL) Each - Pack of 2,BL11012016/4.81,B00KL1MX9O,,0,28,4.81,0,Big Lots,11/1/16,,,,,
Pantene Pro-V Clarifying Shampoo - Removes Styling Build-Up & Residue - Net Wt. 12.6 FL OZ (375 mL) Each - Pack of 2,FBA04212016__3,B00KL1MX9O,,0,15.67,5.34,0,Big Lots,4/18/16,,,,,
Pantene Pro-V Clarifying Shampoo - Removes Styling Build-Up & Residue - Net Wt. 12.6 FL OZ (375 mL) Each - Pack of 3,FBA06152016/6.41,B011ZCAFSS,,0,34.99,8.01,0,Big Lots,6/15/16,,,,,
Pantene Pro-V Expert Collection Advanced Keratin Repair Conditioner 2.5 Fl Oz,FBA04272016__69,B00AZYFH72,,0,5,1.6,0,Walgreen,4/30/16,,,,,
Pantene Pro-V Expert Collection Advanced Keratin Repair Conditioner 8.4 Fl Oz,BL01212017/2.31,B0098JU8YW,,0,19.49,2.31,0,Big Lots,1/21/17,,,,,
Pantene Pro-V Expert Collection Advanced Keratin Repair Conditioner 8.4 Fl Oz,FBA06152016/3.21,B0098JU8YW,,0,11.39,3.21,0,Big Lots,6/15/16,,,,,
Pantene Pro-V Expert Collection AgeDefy Conditioner - 8.4 oz,FBA04212016__4,B0098JU8T2,,0,10.5,5.34,0,NPS,4/18/16,,,,,
"Pantene Pro-V Expert Collection Dry Defy Intense Hydration Conditioner, 8.4 Ounce",FBA06152016/1.60,B00OFXLF0W,,0,12.71,1.6,0,Big Lots,6/15/16,,,,,
Pantene Pro-V Fine Hair Sheer Volume Shampoo - 1.7 oz,FBA07012016/.34,B003PJQ926,,0,7.99,0.34,0,Rite Aid,7/1/16,,,,,
Pantene Pro-V Highlighting Expressions Daily Color Enhancing Conditioner - 13.5 oz - 2 pk,BL01212017/4.27,B00JJ1TUKC,,0,19.99,4.27,0,Big Lots,1/21/17,,,,,
"Pantene Pro-V Sheer Volume Shampoo, 21.1 FL OZ",BLl01212017/3.85,B00GM4G6XI,,0,19.95,3.85,0,Big Lots,1/21/17,,,,,
Pantene Pro-V Smooth & Sleek Finishing Conditioner with Argan Oil 6.7 Fl Oz,BL02272017/1.22,B0071C01YK,,0,14.99,1.22,0,Big Lots,2/27/17,,,,,
Paper Magic Scooby-Doo 800 Count Sticker Box,FBA04212016__36,B008UPESK0,,0,16.99,2.13,0,Seagull Book,4/21/16,,,,,
Paper Magic Scooby-Doo 800 Count Sticker Box,FBA04272016__39,B008UPESK0,,0,16.99,2.13,0,Seagull Book,4/20/16,,,,,
"Paperproducts Design Gift Box Demitasse/Espresso Cups, La Tour de Paris, Set of 2",TM04112017/3.41,B00IE3TR4K,,0,25.99,3.41,0,Tuesday Morning,4/11/17,,,,,
Passport Collection Hand Blown Art Glass Knot Paperweight (Red),FBA04052016__14,B00JPTGS62,,0,22.92,5.12,0,Tuesday Morning,4/1/16,,,,,
"Pavilion Gift Company 81115 The Birchhearts ""Fun Friends"" Snowman Figurine, 5-1/4-Inch",FBA05252016/8.81,B00K64T8TO,,0,24,8.81,0,Amazon,5/25/16,,,,,
Paw Patrol - Rockyâ€™s Tugboat - Vehicle and Figure,Targ11152016/13.19,B01LX4S0FB,,0,34.9,13.19,0,Target,11/15/16,,,,,
Paw Patrol - Zoomer - Everest,FBA_543,B01ATBQ2JW,,0,86.5,38.57,0,Walmart,11/4/16,,,,,
Paw Patrol Action Pack Pup & Badge Ryder Toy,WG02022017//6.65,B00MY4TWH2,,0,16.99,6.65,0,Walgreens,2/2/17,,,,,
"Paw Patrol Action Pack Pup & Badge, RoboDog",FBA03142016__2,B011E1XPH8,,0,16.25,7.55,0,Walgreen,3/14/16,,,,,
"Paw Patrol, Air Rescue Ryder Figure, Removable Pack & Badge",TG11222016__8.11,B01LZ9UZ80,,0,19.15,8.11,0,Target,11/22/16,,,,,
"Pearhead Babyprints Baby Memory Book with an Included Clean-Touch Ink Pad to Create Baby's Handprint and Footprint, Ivory",FBANPSivory2,B0012UZX4A,,0,59.99,10.67,0,NPS,4/1/16,,,,,
"Pearhead Babyprints Memory Babybook, Pink",FBA03052016__20,B000G80R2W,,0,44.99,10.67,0,NPS,3/4/16,,,,,
"Pearhead Chalkboard Talk Bubble Frame, Baby Talk",FBA05142016__,B00J2D5D8U,,0,17,6.4,0,Tuesday Morning,5/12/16,,,,,
"Pearhead ID Bracelet Photo Frame, Espresso, 4"" x 6""",TM03092017/6.83,B00YDYCIQI,,0,34.99,6.83,0,Tuesday Morning,3/9/17,,,,,
"Pearhead Photo Frame, Personalized Name (Discontinued by Manufacturer)",TM02092017/5.15,B00L63QJ0K,,0,34.99,5.15,0,Tuesday Morning,2/9/17,,,,,
"Pearhead Sentiment Frame ""I Love Daddy"", White",FBA04052016__27,B00IKR60DQ,,0,20.89,6.4,0,Tuesday Morning,4/1/16,,,,,
"Pearhead Sentiment Frame - I Love Grandma, I Love Grandma/White",FBA04272016__13,B00IKR83S6,,0,34.99,6.4,0,Tuesday Morning,4/22/16,,,,,
"Pearhead Sentiment Frame - I Love Grandma, I Love Grandma/White",FBA04272016__45,B00IKR83S6,,0,34.99,6.4,0,Tuesday Morning,4/22/16,,,,,
"Pearhead Signature Frame Guest Book â€“ Perfect for any Baby Registry, Includes Mat for Guests to Leave Well-Wishesâ€“ Great for Celebrating Baby Showers, Birthdays or any Special Event, White",TJ03132017/9.29,B00J2D5D6C,,0,27.99,9.29,0,TJ Maxx,3/13/17,,,,,
"Pearhead Signature Frame, White (Discontinued by Manufacturer)",FBA04052016__28,B000YQL3B0,,0,39.99,8.54,0,Tuesday Morning,4/1/16,,,,,
"Pearl Izumi Women's W X-project 2.0 B/b Cycling Shoe, Black/Black, 39 EU/7.5 B US",FBA07072016/59.77,B00M03V554,,0,99,59.77,0,Amazon,7/7/16,,,,,
PedEgg Powerball Rechargeable Callus Remover,FBA04272016__19,B01DTKFKFM,,0,48.49,16.82,0,Hancock Fabric,4/25/16,,,,,
PedEgg Powerball Rechargeable Callus Remover,FBA04272016__35,B01DTKFKFM,,0,30.88,16.82,0,Joann,4/25/16,,,,,
"Peeps Marshmallow Chicks, 1.125 Pound",TM04072017/6.83,B00N4K6N0E,,0,35,6.83,0,Tuesday Morning,4/7/17,,,,,
Pente Board Game by Winning Moves,YS09102016/.75,B0001A865A,,0,21.95,0.75,0,Yard Sale,9/10/16,,,,,
Peppa Pig Get Well Soon Wood Jigsaw Puzzle,GM04122017/3.36,B01LLV3SZU,,0,14.42,3.36,0,Gordmans,4/12/17,,,,,
"Perfect Cooker ,3 Cup Size",FBA07062016/8,B01FDTNC02,,0,42.99,8,0,Rite Aid,7/6/16,,,,,
"Perfect Tortilla Press and Maker - 2-n-1 Tortilla Machine Dough Smasher &amp; Stovetop Cooker, Make 6, 8, 10 Inch Round Tortillas, Comal also Heats Flatbread and Quesadillas",FBA02212016__10,B014EONKPY,,0,39.95,16.02,0,NPS,2/19/16,,,,,
Personal Strengths Thumball,NPS09062016/5.33,B00OGWZZT4,,0,25.99,5.33,0,NPS,9/6/16,,,,,
Pet Shoppe Fabric Pet House Home Sweet Home (Red),FBA04152016,B010KZ8NG2,,0,24.99,1.6,0,Walgreen,4/13/16,,,,,
"Phillips Digestive Health Support Probiotic Capsule, 26 Count",FBA06042016__8,B00I8MI3M4,,0,13.45,4.8,0,Rite Aid,6/3/16,,,,,
PHISODERM CLEAR CONFIDENCE ACNE SPOT TREATMENT .65oz (2 PACK),BL02272017/6.81,B01GNSIAKY,,0,21.99,6.81,0,Big Lots,2/27/17,,,,,
"Pictionary, the Game of Quick Draw",YS08202016/1,B0006J5UN2,,0,15.35,1,0,Yard Sale,8/20/16,,,,,
Pill Glide Spray - Strawberry Flavor 1oz,FBA08012016/1.73,B002BDDT66,,0,11.87,1.73,0,Walgreens,8/1/16,,,,,
Pioneer Woman Large 6 Linen Color Steel Tin Canister,FBA02212016__13,B017I35JT8,,0,20.15,4.01,0,NPS,2/19/16,,,,,
PJ Masks Cat Boy Car,WM12062016-13.86,B01HXND5XK,,0,31.6,13.86,0,Toys R Us,12/6/16,,,,,
PJ Masks Gekko Mobile Vehicle,WM12062016/13.86,B01HXNDBH0,,0,32,13.86,0,Walmart,12/6/16,,,,,
"Plaid Creates Paint by Number Kit (16 by 20-Inch), 21788 Hometown Pride by Thomas Kinkade",FBA04052016__29,B00IB4ZPAC,,0,28.49,8.54,0,Tuesday Morning,4/1/16,,,,,
"Plaid Creates Paint by Number Kit (16 by 20-Inch), 21794 Hyde Street and The San Francisco Bay by Thomas Kinkade",FBA05132016__1,B00QYLJ7TE,,0,28.77,8.54,0,Tuesday Morning,4/1/16,,,,,
"Plaid Creates Paint by Number Kit (16 by 20-Inch), 21794 Hyde Street and The San Francisco Bay by Thomas Kinkade",FBA07012016/8.54,B00QYLJ7TE,,0,34.49,8.54,0,Tuesday Morning,7/1/16,,,,,
Playhut Thomas the Tank Train Engine Play Tent,TG11072016/14.17,B000065CML,,0,59.99,14.17,0,Target,11/7/16,,,,,
Playskool Heroes Marvel Super Hero Adventures Stunt Wing Spider Plane with Spider-Man,Targ10242016/8.31,B00P926ZX0,,0,22.49,8.31,0,Target,10/24/16,,,,,
Playskool Heroes Star Wars Galactic Heroes First Order Snowspeeder,TG10312016/16.23,B014RDAXM0,,0,35.17,16.23,0,Target,10/31/16,,,,,
Playskool Heroes Transformers Rescue Bots Blades the Flight-Bot Figure,WG01262017_13.88,B00HG54NDM,,0,42.99,13.88,0,Walgreen,1/26/17,,,,,
Playskool Heroes Transformers Rescue Bots Blades the Flight-Bot Figure,WG01262016//13.88,B00HG54NDM,,0,44.49,13.88,0,Walgreen,1/26/17,,,,,
Playskool Heroes Transformers Rescue Bots Blurr Figure,TG11222016/6.41,B00QCALLD2,,0,23.75,6.41,0,Target,11/22/16,,,,,
Playskool Heroes Transformers Rescue Bots Blurr Figure,WG03152017/12.35,B00QCALLD2,,0,32.75,12.35,0,Walgreens,3/15/17,,,,,
Playskool Heroes Transformers Rescue Bots Deep Water Rescue High Tide,TRU12022016/17.09,B018M5Y7TE,,0,55.69,17.09,0,Toys R Us,12/2/16,,,,,
Playskool Heroes Transformers Rescue Bots Griffin Rock Rescue Team,WM12072016/37.11,B01BMW5Q7G,,0,72,37.11,0,Walmart,12/7/16,,,,,
Playskool Heroes Transformers Rescue Bots Rescan Blades The Flight Bot Action Figure,TG11212016/6.41,B011KD5BRC,,0,16.39,6.41,0,Target,11/21/16,,,,,
Playskool Heroes Transformers Rescue Bots Rescan Morbot Action Figure,Targ11152016//8.01,B011KD5OJM,,0,14.5,8.01,0,Target,11/15/16,,,,,
Playskool Heroes Transformers Rescue Bots Rescan Quick Shadow Action Figure(Discontinued by manufacturer),Targ11152016/8.01,B011KD5KG4,,0,13.9,8.01,0,Target,11/15/16,,,,,
Playskool Heroes Transformers Rescue Bots Salvage the Construction-Bot Figure,WM12052016/8.42,B00QCALON4,,0,20.75,8.42,0,Walmart,12/5/16,,,,,
Playskool Heroes Transformers Rescue Bots Salvage the Construction-Bot Figure,WG01262017/13.88,B00QCALON4,,0,34.5,13.88,0,Walgreen,1/26/17,,,,,
Playskool Heroes Transformers Rescue Bots Salvage the Construction-Bot Figure,FBA03142016__3,B00QCALON4,,0,27.49,14.03,0,Walgreen,3/14/16,,,,,
Playskool Heroes Transformers Rescue Bots Tunnel Rescue Drill Set,TRU12022016/8.55,B00UJ2HUPW,,0,23.49,8.55,0,Toys R Us,12/2/16,,,,,
Playskool Mr. Potato Head Silly Suitcase,AZ0819252016/19.22,B0050QJTBA,,0,29.9,19.22,0,Amazon,8/25/16,,,,,
Playskool Mrs. Potato Head Silly Suitcase Set,AZ08252016//19.22,B0050QJT6U,,0,36,19.22,0,Amazon,8/25/16,,,,,
"Pokemon Hero Figure, Machamp",TG11192016/9.23,B01BM3I9ZQ,,0,23.9,9.23,0,Target,11/19/16,,,,,
Pokemon Pikachu Flashing Lights Backpack,FBA07212016/17.27,B01IDY9Q7W,,0,57.5,17.27,0,Target,7/21/16,,,,,
Pokemon Pikachu Red Blue Yellow Lunchbox,FBA07212016/9.71,B01IDZ230S,,0,29.49,9.71,0,Target,7/21/16,,,,,
"PokÃ©mon Small Plush, Eevee",TG11292016//13.19,B01C49MCFA,,0,32,13.19,0,Target,11/29/16,,,,,
"PokÃ©monÂ  Hero Figure, Greninja",Targ10242016/8.11,B01C7PLDHE,,0,23.5,8.11,0,Target,10/24/16,,,,,
PokÃ©monÂ  My Friend Pikachu,TRU12022016/29.91,B01C49MHB4,,0,54,29.91,0,Toys R Us,12/2/16,,,,,
"Pop Out Pets Dogs, Reversible Plush Toy, Get 3 Stuffed Animals in One - Bulldog, Golden Labrador & Beagle, 8 in.",FBA02212016__4,B00ZVIX5DU,,0,14.3,5.33,0,Walgreen,2/12/16,,,,,
"Pop Out Pets Kittens, Reversible Plush Toy, Get 3 Stuffed Animals in One - Tuxedo, Snowball & Tabby Cats, 8 in.",FBA02212016__3,B00ZVIX3VO,,0,16.48,5.33,0,Walgreen,2/12/16,,,,,
Positively Perfect Dolls Marvelous Maria Baby Doll,TG12062016/11.16,B00RPGWQCM,,0,29.97,11.16,0,Target,12/6/16,,,,,
"Post-it Pop-up Notes Dispenser for 3 x 3-Inch Notes, Black Purse, Includes Green and Pink Post its",FBA08082016/5.54,B003VNE25M,,0,17.99,5.54,0,Walgreens,8/8/16,,,,,
"Post-it Pop-up Notes Dispenser for 3 x 3-Inch Notes, Clutch Purse style",FBA07292016/3.73,B0096JZZK6,,0,14.49,3.73,0,Walgreens,7/29/16,,,,,
Potted Plant Mover,FBA04052016__4,B00JAJ48QO,,0,95,42.73,0,Tuesday Morning,4/4/16,,,,,
Pottery Cool - Hip Holders,TG12072016/6.08,B019HOZPB8,,0,15.45,6.08,0,Target,12/7/16,,,,,
"Power Rangers Dino Charge - 5"" Red Ranger Action Hero",BL11282016/4.81,B00PNJZS7I,,0,18.5,4.81,0,Big Lots,11/28/16,,,,,
"Power Rangers Dino Charge - 5"" Villain Slammer Action Figure",TG122016/7.81,B00Y8CWUOA,,0,21.99,7.81,0,Target,12/13/16,,,,,
"Power Rangers Dino Charge - 5"" Villain Vivix Action Figure",WM11162016_10.51,B00PNJZUFI,,0,23.83,10.51,0,Walmart,11/16/16,,,,,
"Power Rangers Dino Charge - 5"" Villain Vivix Action Figure",WG01192017/9.39,B00PNJZUFI,,0,29.99,9.39,0,Walgreens,1/19/17,,,,,
"Power Rangers Dino Charge - 7"" Armored Dino Red Ranger Action Figure",TM01062017/9.44,B00PNJZZ8K,,0,24,9.44,0,Tuesday Morning,1/6/17,,,,,
Power Rangers Dino Charge - Deluxe Mega Dino Zord Armor Ranger,TRU12072016/18.14,B00PNJZPW6,,0,47.99,18.14,0,Toys R Us,12/7/16,,,,,
Power Rangers Dino Charge - Dino Saber,FBA03232016/7.47,B00PNJZFTY,,0,26.97,7.47,0,NPS,3/15/16,,,,,
Power Rangers Dino Charge - Mixx N Morph Dino Charge Red Ranger and T-Rex Zord Action Figure,TRU12022016/12.8,B00VGSYB5U,,0,33,12.8,0,Toys R Us,12/2/16,,,,,
Power Rangers Dino Charge - Mixx N Morph Samurai Gold Ranger and Claw Zord Action Figure,TRU11292016/12.8,B00VQFO8HO,,0,29.5,12.8,0,Toys R Us,11/29/16,,,,,
Power Rangers Dino Charge - Raptor Zord with Charger,FBA04142016__3,B00PNJZKSA,,0,34.99,10.67,0,Ross,4/12/16,,,,,
"Power Rangers Dino Super Charge - 12"" Villain Fury Action Figure",TRU12022016/11.74,B018ALNIYA,,0,44.88,11.74,0,Toys R Us,12/2/16,,,,,
"Power Rangers Dino Super Charge - 5"" Aqua Ranger Action Hero",WM11142016-10.51,B018ALNRJQ,,0,22.25,10.51,0,Walmart,11/14/16,,,,,
"Power Rangers Dino Super Charge - 5"" Dino Steel Green Ranger Action Figure",TG11212016/7.3,B018ALO01U,,0,23.49,7.3,0,Target,11/21/16,,,,,
"Power Rangers Dino Super Charge - 5"" Gold Ranger Action Hero",TRU12062016/10.67,B018ALNMNC,,0,22.75,10.67,0,Toys R Us,12/6/16,,,,,
"Power Rangers Dino Super Charge - 5"" Villain Fury Action Figure",TG12022016/10.67,B018ALNMTG,,0,39.45,10.67,0,Target,12/2/16,,,,,
"Power Rangers Dino Super Charge - 5"" Villain Sledge Action Figure",TG11292016/8.01,B018ALNQXS,,0,45,8.01,0,Target,11/29/16,,,,,
Power Rangers Dino Super Charge - Ankylo Zord Action Figure with Charger,TG12022016//17.25,B018ALP9RY,,0,35.5,17.25,0,Target,12/2/16,,,,,
Power Rangers Dino Super Charge - Deinosuchus Zord Action Figure with Charger,TG12022016/17.25,B018ALP9WO,,0,30.5,17.25,0,Target,12/2/16,,,,,
Power Rangers Dino Super Charge - Deluxe Spino Zord Action Figure,TG11192016/15.98,B018ALPE6A,,0,42.49,15.98,0,Target,11/19/16,,,,,
Power Rangers Dino Super Charge - Dino Charge Megazord Action Figure,TG11212016//24.35,B018ALP6AY,,0,58,24.35,0,Target,11/21/16,,,,,
Power Rangers Dino Super Charge - Dino Charge Megazord Action Figure,WM12072016/37.14,B018ALP6AY,,0,59.74,37.14,0,Walmart,12/7/16,,,,,
Power Rangers Dino Super Charge - Dino Spike Battle Sword,TRU11292016/32.04,B018ALOXY4,,0,52,32.04,0,Toys R Us,11/29/16,,,,,
"Power Rangers Dino Super Charge - Dino Super Drive Aqua Ranger Action Figure, 5""",WM11142016__10.51,B01H04OQ9O,,0,27.5,10.51,0,Walmart,11/14/16,,,,,
"Power Rangers Dino Super Charge - Dino Super Drive Silver Ranger Action Figure, 5""",WM11142016_10.51,B01H04OUOU,,0,29.99,10.51,0,Walmart,11/14/16,,,,,
Power Rangers Dino Super Charge - Gold Ptera Morpher,TG11212016/12.17,B018ALOSZS,,0,39.9,12.17,0,Target,11/21/16,,,,,
Power Rangers Dino Super Charge - Limited Edition Dino Charge Megazord Action Figure,WM12072016//37.14,B018ALP5KK,,0,79,37.14,0,Walmart,12/7/16,,,,,
Power Rangers Dino Super Charge - Limited Edition Dino Charge Megazord Action Figure,Targ11042016/24.35,B018ALP5KK,,0,63.75,24.35,0,Target,11/4/16,,,,,
Power Rangers Dino Super Charge - Para Zord Action Figure with Charger,TG11212016//13.79,B018ALP9LK,,0,34.5,13.79,0,Target,11/21/16,,,,,
Power Rangers Dino Super Charge - Plesio Charge Megazord Action Figure,Targ11192016/21.32,B018ALP6B8,,0,59.44,21.32,0,Target,11/19/16,,,,,
"Power Rangers Dino Super Charge - Ranger Hero Set, Gold",TG11302016//25.37,B01H04PYZY,,0,69.95,25.37,0,Target,11/30/16,,,,,
Power Rangers Dino Super Charge - Red Ranger Hero Set,TG11302016/25.37,B018ALOXFI,,0,58,25.37,0,Target,11/30/16,,,,,
Power Rangers Dino Super Charge - T-Rex Super Charge Morpher,TG11212016//20.29,B018ALOP1A,,0,48.49,20.29,0,Target,11/21/16,,,,,
Power Rangers Dino Super Charge - Titano Charge Megazord,Targ11152016/30.44,B01H04QANO,,0,62.5,30.44,0,Target,11/15/16,,,,,
Power Rangers Dino Super Charge - Titano Charge Morpher,TG11212016_20.29,B01H04PZ62,,0,42.45,20.29,0,Target,11/21/16,,,,,
"Power Rangers Dino Super Charge - Villain Singe Action Figure, 5""",WM11162016/10.3,B01H04OUPO,,0,19.04,10.3,0,Walmart,11/16/16,,,,,
"Power Rangers Dino Super Charge - Villain Spellbinder Action Figure, 5""",WM11142016//10.51,B01H04OLIU,,0,15.89,10.51,0,Walmart,11/14/16,,,,,
"Power Rangers Figures Movie Action Hero - Alpha 5, 5-Inch",WG01262017_5.33,B01H04NUZ0,,0,15.8,5.33,0,Walgreens,1/26/17,,,,,
"Power Rangers Figures Movie Action Hero - Black, 5-Inch",WG01262017//5.33,B01H04NV40,,0,15.69,5.33,0,Walgreens,1/26/17,,,,,
Power Rangers Key Pack Samurai Set C Green Yellow Gold Ranger,TRU12132016/7.68,B01EZBHP7U,,0,25.75,7.68,0,Toys R Us,12/13/16,,,,,
"Power Rangers Mighty Morphin Movie - Ranger Action Hero Figure, 5"", Red",WG01262017/5.33,B01H04NUZK,,0,15.95,5.33,0,Walgreens,1/26/17,,,,,
"Power Rangers Super Megaforce - 5"" Mighty Morphin White Ranger Action Hero",WG01262017__10.67,B00JYFMKYQ,,0,36.95,10.67,0,Walgreen,1/26/17,,,,,
"Power Rangers Super Megaforce - 5"" Silver Ranger Action Hero",WG01262017//10.67,B00JYFMJEM,,0,27.49,10.67,0,Walgreens,1/26/17,,,,,
Power Rangers The Mega Collection Legendary Ranger Power Pack Exclusive Action Figure Set,TRU11242016/53.41,B01LXV4ACD,,0,123.91,53.41,0,Toys R Us,11/24/16,,,,,
"Power Up Trail Mix - Mega Omega, 100% All Natural Trail Mix (Pack of 2)",TJ09152016/10.24,B01GRE9U26,,0,33.49,10.24,0,TJ Maxx,9/15/16,,,,,
"Premama Fertility Reproductive Powdered Drink Supplement, 28 Count",FBA06042016__752,B00ZERDOWU,,0,15.46,3.69,0,Walgreens,8/23/16,,,,,
Premier Medium Clipping Blade Set,FBA04272016__11,B00U6LQPFW,,0,52.99,4.26,0,NPS,4/22/16,,,,,
Premier Medium Clipping Blade Set,FBA04272016__12,B00U6LQPFW,,0,50.99,4.26,0,NPS,4/22/16,,,,,
Preparation H Hemorrhoidal Suppositories ~ 56 Count,FBA07052016/8.54,B004IB0LVK,,0,26.98,8.54,0,Rite Aid,7/5/16,,,,,
"PreserVision AREDS 2 Plus Multivitamin Vitamin and Mineral Supplement, 100 Count",FBA08252016/9.07,B01EOA7QYY,,0,23.5,9.07,0,Rite Aid,8/25/16,,,,,
Pretty Kitty Headbands,TM0225201--4.27,B00O71OOBO,,0,22.99,4.27,0,Tuesday Morning,2/25/17,,,,,
Princess Panorama Puzzle in a Tin,TM03222017/5.05,B0076063IA,,0,24.99,5.05,0,Tuesday Morning,3/22/17,,,,,
"PRO-MART DAZZ Over The Door Adjustable Pantry Organizer Rack, 5 Shelves, Small",TM02092017/18.37,B00683MLMI,,0,54.75,18.37,0,Tuesday Morning,2/9/17,,,,,
"PRO-MART DAZZ Over The Door Adjustable Pantry Organizer Rack, 5 Shelves, Small",TM02092017//18.37,B00683MLMI,,0,54.99,18.37,0,Tuesday Morning,2/9/17,,,,,
"Pro-Sense Allergy Relief Tablets, 48-Count",FBA04272016__53,B005FAMDPA,,0,14.89,0.85,0,Walgreen,4/30/16,,,,,
Proctor Silex 17515 Commercial Hospitality Lightweight Nonstick Iron,NPS09232016/8.8,B005HQL7FE,,0,36.99,8.8,0,NPS,9/23/16,,,,,
Promensil Double Strength Menopause Relief-30 ct,FBA07072016/8,B00RTJRK8A,,0,17.9,8,0,Rite Aid,7/7/16,,,,,
"Propet Women's Travelactiv Mary Jane Fashion Sneaker, Honey, 8 M US",FBA07032016/22.49,B0118FL7XE,,0,45.99,22.49,0,Amazon,7/3/16,,,,,
ProVectin Plus Advanced Eye Cream,FBAWG08302016/9.64,B007VN41LI,,0,31.99,9.64,0,Walgreens,8/30/16,,,,,
ProVectin Plus Advanced Eye Cream,WG01192017/10.33,B007VN41LI,,0,99.95,10.33,0,Walgreens,1/19/17,,,,,
"ProVectin Plus Advanced Wrinkle Repair, 5 fl oz",WG01192017/11.15,B00J09DAJU,,0,98.99,11.15,0,Walgreens,1/19/17,,,,,
"PUMA Men's PU910791010 ""Slide"" Digital Watch with Black Band",FBA06042016__12,B005ADOCQK,,0,43.5,21.99,0,Amazon,5/26/16,,,,,
"PUMA Men's PU910801017 ""Loop"" Digital Watch with Black Band",FBA06042016__13,B005ADOB8O,,0,29.99,21.99,0,Amazon,5/26/16,,,,,
"PUMA Suede Kids Sneaker (Toddler/Little Kid/Big Kid) , Monaco Blue/Monaco Blue, 4 M US Toddler",FBA06292016/13.28,B012ZIQV3E,,0,18.69,13.28,0,Amazon,6/29/16,,,,,
Puppy Surprise Jaxie Plush,WM11162016/26.68,B01IP8EP68,,0,39,26.68,0,Walmart,11/16/16,,,,,
Puppy Surprise Lacey and Her Puppies,TG11212016/18.67,B01IP8EPB8,,0,39.49,18.67,0,Target,11/21/16,,,,,
Pure Shine Brilliant Blowout Keratin Smoothing Treatment 6oz (Pack of 3),BL10172016/4.31,B00CIXXCVG,,0,22.99,4.31,0,Big Lots,10/17/16,,,,,
Pure Shine Curls Lotion 8oz,FBA07252016/1.33,B004R7NJZU,,0,12.95,1.33,0,Big Lots,7/25/16,,,,,
"Qixels 3D Refill Bundle Includes 3 packs - Alien Strikes, Jungle World, Space Command",TG11302016/18.24,B01LXEGRHX,,0,36.54,18.24,0,Target,11/30/16,,,,,
"Qixels 3D Refill Bundle Includes 3 packs - Bugs Outbreak, Ocean Kingdom, Animal Ranch",FBA_663,B01MAXVA1V,,0,38,14.6,0,Target,11/21/16,,,,,
